block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t,npv_expected,npv_std,npv_cv
B0014,600,50,-10,633.5,0.735,4.13,4.62,14.4,104.75,1,1,25.9,2.63,85.73,54289974.71063507,10485890.799672564,0.1931459879206472
B0015,500,100,-40,533.0,0.699,3.01,4.08,14.81,72.13,2,6,36.34,3.06,53.24,27573152.24969643,5789625.172691777,0.2099732783637576
B0016,650,200,-60,442.8,0.916,2.6,5.23,11.97,89.57,1,6,28.71,3.87,72.37,32605275.47233297,6313779.543104502,0.1936428829887368
B0017,300,700,-60,407.3,0.962,1.3,3.49,10.55,83.21,3,2,23.47,2.45,69.17,28396899.4560137,5487892.979804718,0.1932567669334945
B0018,400,0,-30,516.4,1.037,2.15,4.11,14.42,86.81,1,8,28.79,1.68,68.28,35049268.69995522,6446894.883487949,0.1839380712527159
B0019,400,750,-30,545.8,1.06,1.37,4.97,12.77,64.37,2,4,19.51,2.65,46.63,25128835.640852507,5316641.028627189,0.211575303552219
B0020,800,950,-30,544.2,0.983,1.45,3.15,12.18,96.54,3,8,29.23,3.25,81.21,43564735.48055397,7775173.492398691,0.1784740204808382
B0021,250,700,-80,565.6,0.668,3.01,3.91,10.39,50.05,3,8,26.29,2.26,35.75,19685365.22286584,4217469.367574164,0.2142438974246358
B0022,300,100,-30,510.0,1.157,2.22,3.0,12.28,85.32,2,3,36.32,2.3,70.04,35657641.64068327,6109093.754621339,0.1713263545632592
B0023,450,400,-60,557.9,0.624,3.02,3.96,11.64,61.4,2,5,22.93,3.39,45.8,25273636.20133368,5236908.4979114095,0.2072083516670648
B0024,200,150,-100,492.8,0.978,2.89,4.16,8.73,79.62,2,8,15.0,4.07,66.73,33021399.56670829,5975313.53743302,0.1809527644448252
B0025,50,600,-70,536.4,0.874,2.32,3.55,13.09,77.64,2,1,24.35,2.27,61.0,32698211.351357747,6020546.153728045,0.1841246326606195
B0026,350,450,-60,452.3,1.034,1.7,4.18,13.48,79.51,2,10,26.28,1.82,61.85,27752496.9228472,5375975.067563068,0.1937114012662877
B0027,0,650,-30,445.6,1.038,2.26,3.58,11.8,115.27,3,4,16.16,2.4,99.89,44280827.94715957,7414781.310034882,0.167449021479069
B0028,600,700,-10,368.8,0.665,1.01,4.45,12.34,96.5,3,3,21.34,3.18,79.71,29049889.52144251,5321874.714060252,0.183197760877267
B0029,550,600,-90,478.0,0.857,1.83,4.44,15.01,84.92,1,6,30.72,3.54,65.47,30722127.13793249,6731614.360853322,0.219112899657974
B0030,150,50,-50,478.4,0.752,4.45,4.53,12.53,88.96,1,10,27.39,2.95,71.9,34573502.590704925,6243949.628040842,0.1805992786429317
B0031,450,850,-70,421.9,0.485,2.42,4.14,12.84,63.19,2,8,37.17,2.05,46.21,19535089.008427337,4028929.536187314,0.20624065416079
B0032,250,500,-80,535.7,0.697,3.47,3.67,12.35,47.6,1,9,25.27,2.04,31.58,16606090.011504926,3827992.432036397,0.2305173842478459
B0033,700,400,-20,506.2,0.728,1.71,3.46,14.85,106.5,1,7,39.63,3.07,88.19,44468795.19273468,8428565.937457796,0.1895388867840264
B0034,700,400,-60,604.9,1.047,3.18,4.33,14.01,88.75,2,3,25.59,2.24,70.41,41983598.871961445,8742099.381884022,0.2082265364754709
B0035,900,700,-90,546.2,0.828,2.1,3.29,14.76,103.49,1,5,23.29,2.2,85.44,46639478.1188709,8875139.26795654,0.1902924223409256
B0036,50,600,-80,421.5,1.077,2.52,5.0,13.18,89.3,3,5,22.91,0.89,71.12,30324528.583675265,5942282.859087592,0.1959563144630887
B0037,350,850,-20,624.0,0.997,1.68,4.28,13.8,88.82,3,1,19.44,2.44,70.74,43461033.02821049,8699140.985850457,0.2001595539665119
B0038,250,0,-30,451.8,0.881,3.1,3.3,10.27,83.57,3,2,33.76,2.7,70.0,31773527.1582752,5931386.034427698,0.1866769781296663
B0039,500,800,-50,431.2,0.746,2.68,3.88,12.01,108.96,2,7,22.04,4.13,93.07,40791883.07501686,7073885.571421164,0.1734140480451021
B0040,350,550,-30,652.7,0.76,3.26,4.48,13.18,76.85,3,4,36.28,1.61,59.19,38406080.68844682,7850623.764514868,0.2044109584677424
B0041,300,900,-100,540.3,0.714,2.77,4.82,14.77,94.65,3,3,31.49,3.04,75.06,40863658.31789447,8466346.389704242,0.2071852285921442
B0042,900,0,-90,460.1,1.065,4.06,4.34,14.27,88.43,1,4,30.09,3.26,69.82,32164143.44315885,6067224.616998417,0.1886331786736539
B0043,650,150,-50,581.3,0.66,2.68,3.5,11.58,104.44,1,7,29.99,2.68,89.36,52839724.58876714,9247900.614005657,0.1750179563950946
B0044,950,900,-60,556.1,0.789,2.68,4.92,11.47,115.86,3,4,29.57,3.88,99.47,55091637.610382825,8507544.240649534,0.1544253285919052
B0045,850,300,-100,607.2,0.788,2.93,4.12,11.31,60.73,2,9,23.34,3.11,45.3,27788434.12474925,5274076.145253525,0.1897939308698314
B0046,350,500,-70,409.3,1.227,4.53,4.99,9.2,70.16,1,7,30.49,3.01,55.97,22669132.335628096,4168898.9939237447,0.1839020096667602
B0047,250,750,-30,451.6,1.025,2.12,4.47,12.71,99.43,2,2,24.32,2.06,82.25,37117491.84237026,6644440.132663586,0.1790110215658171
B0048,650,650,-20,468.0,0.787,1.59,4.43,11.55,87.08,1,10,29.43,2.75,71.1,32990629.1703489,5878972.624076595,0.1782012884240613
B0049,200,900,-100,578.0,0.676,2.32,4.18,11.42,92.5,1,4,28.83,1.74,76.9,44406567.46672685,7614800.826050097,0.1714791586121973
B0050,300,200,-90,436.6,0.666,2.14,4.45,14.73,74.88,2,4,27.28,1.75,55.7,24124422.79313116,4838536.2763133645,0.2005658878475227
B0051,950,550,-80,355.8,1.046,3.65,4.97,11.51,85.24,1,3,27.98,2.83,68.76,24588494.863205515,4400035.891097402,0.178946939028857
B0052,150,600,-40,318.3,0.738,2.72,3.86,10.87,58.22,3,1,27.41,3.13,43.49,13730112.90812467,2640008.447016824,0.1922787135606599
B0053,500,500,-60,448.6,0.765,2.05,4.79,14.04,70.87,3,9,29.11,2.58,52.04,23117920.66221652,5047280.687426588,0.2183276238885863
B0054,50,0,-90,538.0,0.947,2.2,4.16,15.04,107.15,3,5,31.16,3.23,87.95,46461741.73456382,7560446.861535788,0.162724137737424
B0055,650,100,-80,500.5,0.81,2.7,4.41,12.0,73.22,3,9,18.22,2.01,56.81,28287294.575568307,5391026.906610732,0.1905812127847303
B0056,350,850,-30,530.4,0.705,1.54,4.94,11.41,102.93,3,8,26.13,3.6,86.58,46098009.13639628,7884491.083217184,0.1710375617282797
B0057,300,0,-70,535.7,0.85,0.5,3.87,11.89,76.45,2,10,23.83,3.41,60.69,32583606.015819386,6152456.219602008,0.188820605571249
B0058,950,200,-10,437.3,0.977,3.07,4.98,13.89,85.34,3,7,34.03,3.33,66.47,29213463.36006437,6168399.028034526,0.2111491866612057
B0059,900,0,-20,492.7,0.662,2.0,4.58,11.59,88.56,1,1,31.0,1.86,72.39,35086011.87198225,6636156.334830393,0.1891396593902899
B0060,800,50,-50,567.5,0.703,4.5,4.56,12.72,71.84,3,4,22.38,2.81,54.56,31424031.07720457,5549229.620842513,0.1765919085049531
B0061,600,0,-30,520.3,1.063,3.35,4.94,10.45,96.09,2,4,40.08,4.28,80.7,42311440.01215668,7455576.412518596,0.1762071064084915
B0062,200,350,-10,442.2,0.831,1.47,4.49,18.0,111.59,1,4,21.96,0.94,89.1,38808998.08970346,6730738.618683197,0.1734324241797149
B0063,100,600,-50,489.9,0.686,1.93,4.64,11.43,95.95,1,8,24.47,2.42,79.88,39764655.60645266,7220214.653972396,0.1815736750100449
B0064,500,0,-90,436.9,0.663,2.62,5.1,12.96,66.88,2,6,27.52,3.0,48.82,20958782.63578744,4415960.287341052,0.2106973655903435
B0065,650,300,-10,539.1,1.037,3.62,4.47,13.11,89.56,1,1,19.31,1.94,71.98,39666192.33834441,7381197.252900339,0.1860828281661182
B0066,550,100,-30,531.1,0.704,2.15,2.5,13.7,104.63,2,4,29.69,2.11,88.43,47477235.20572981,8256517.526298744,0.1739047670008868
B0067,400,900,-40,570.5,1.016,1.29,3.87,10.3,75.74,2,10,27.36,2.15,61.57,35145004.28379882,6525931.200000421,0.1856858843237857
B0068,650,50,-70,501.3,0.901,4.03,4.76,12.71,88.28,1,7,28.76,1.82,70.81,35764421.7413495,7145110.458999424,0.1997826362375799
B0069,450,50,-50,346.2,0.73,4.05,3.94,12.75,72.35,2,9,21.96,2.95,55.66,19630765.963682085,3855625.4365136335,0.1964072845474667
B0070,200,250,-20,579.7,0.751,1.51,3.58,10.06,75.4,2,2,29.82,1.44,61.76,35679368.200343266,6915761.193164827,0.1938308199386303
B0071,700,100,-100,479.2,0.721,2.67,3.7,11.79,80.59,3,2,28.78,1.65,65.1,31728362.847140387,5609079.714006736,0.1767844039426153
B0072,850,450,-20,526.0,0.834,0.91,4.59,9.21,87.86,1,5,24.17,1.93,74.06,38337756.76157968,6701461.381729488,0.1748005607997748
B0073,750,150,-10,493.4,1.031,3.07,3.51,10.31,104.25,3,5,22.72,3.71,90.43,45173853.86996055,8438036.5944325,0.186790275160552
B0074,250,50,-70,502.5,0.884,4.0,4.41,9.48,80.62,2,7,26.32,3.72,66.73,34138101.84180916,5643094.137246658,0.1653019304762727
B0075,900,300,-100,512.8,0.628,3.11,4.03,12.08,81.18,1,4,24.07,2.63,65.07,32914671.3156483,6230760.92996438,0.1893004147060144
B0076,450,950,-30,349.8,1.054,2.15,4.79,12.65,102.92,1,4,26.55,3.93,85.48,29722406.8857764,5548912.957171889,0.1866912386502356
B0077,100,0,-30,472.3,1.212,2.25,4.6,12.19,81.11,1,2,33.84,2.46,64.32,30340038.42070711,6100121.544635388,0.2010584647273237
B0078,750,400,-20,533.8,0.639,3.78,4.34,14.0,96.38,1,2,27.94,3.87,78.04,41415638.06889724,7526368.407735013,0.1817276941433203
B0079,800,0,-10,516.6,0.51,3.19,3.86,13.75,70.49,1,4,28.29,2.93,52.88,27905247.374526054,5671742.092827161,0.2032500202096305
B0080,150,0,-100,471.7,0.826,2.19,4.16,13.31,84.72,3,2,24.41,2.69,67.25,31920864.697263468,5795469.152549965,0.1815573985076539
B0081,400,300,-90,459.4,0.824,2.95,3.63,12.09,107.36,3,2,35.79,1.93,91.64,41838845.08932781,7589814.099603589,0.181405917954929
B0082,150,400,-50,482.3,0.947,2.43,3.88,14.53,61.59,3,10,24.65,2.51,43.18,21061996.349142995,4709827.282279974,0.2236173249774404
B0083,200,750,-60,488.7,0.843,2.09,4.89,10.65,83.92,2,4,25.27,2.15,68.38,33611005.86664763,5613807.326079687,0.1670228897151303
B0084,150,850,-80,606.4,0.721,3.99,3.56,11.02,66.82,1,3,30.37,1.73,52.24,32079722.586012363,6013868.937820327,0.1874663635789212
B0085,150,900,-80,452.9,0.666,2.45,3.31,11.52,92.65,1,10,22.71,1.86,77.82,35241077.85092929,6058641.063477151,0.1719198569665027
B0086,750,650,-20,661.8,0.816,2.7,4.03,12.35,94.23,3,4,29.02,2.69,77.85,52726592.50843855,9497201.32095861,0.1801216590933435
B0087,550,650,-100,508.5,0.999,3.56,4.16,15.56,62.27,2,10,24.86,1.65,42.55,21728245.768651504,4824148.495877837,0.2220219960342078
B0088,250,200,-70,583.8,0.724,3.35,3.9,13.96,80.7,3,7,36.88,3.08,62.84,37214319.48435542,7390150.900374631,0.1985835292106144
B0089,900,250,-40,557.5,0.92,2.86,3.99,10.35,58.57,1,3,23.39,2.17,44.23,24355583.511787176,4746614.921178611,0.194888162662226
B0090,250,900,-60,511.2,0.721,2.02,3.84,15.75,86.78,2,1,25.38,2.41,67.19,34640809.96362428,6533322.502172387,0.1886018978491818
B0091,650,250,-20,515.5,0.696,2.41,4.9,10.15,93.45,3,4,25.59,3.05,78.4,40666784.204395264,7284277.142568345,0.1791210513709874
B0092,400,200,-10,569.7,0.986,2.56,4.98,12.39,97.49,3,7,28.84,1.29,80.12,45785015.79390455,8268051.670008473,0.1805842266654675
B0093,100,500,-30,618.1,1.039,2.41,3.22,14.33,100.43,2,2,28.94,0.5,82.88,50705769.19601433,9121040.954730824,0.179881719562747
B0094,500,300,-100,445.9,0.856,2.87,4.58,12.97,93.46,2,10,23.06,1.77,75.91,33478534.872153625,6194150.407955525,0.1850185628376354
B0095,300,450,-30,427.4,0.642,2.2,2.5,11.72,70.6,2,10,26.84,3.21,56.38,24281840.99940184,4716529.626358994,0.194241022601012
B0096,500,850,-10,488.1,0.705,1.82,4.9,13.68,92.01,1,2,28.99,3.03,73.43,36393955.13827177,6645147.226912024,0.182589311924606
B0097,850,350,-10,479.1,0.557,1.8,4.3,15.2,94.85,3,6,32.7,1.44,75.35,36070193.723158695,6784960.817783535,0.1881043631164998
B0098,900,0,-60,548.4,0.91,3.19,4.03,12.7,91.6,2,5,24.41,1.9,74.87,41342366.721907794,7117477.183868777,0.1721594032519948
B0099,850,700,-50,504.7,0.783,3.71,3.36,12.28,72.07,1,4,17.82,2.58,56.43,28497742.446553297,5719239.239127004,0.200690958234789
B0100,700,500,-100,487.2,0.82,2.68,4.58,14.06,94.55,2,6,28.9,2.27,75.91,36720495.59944726,7324778.175685243,0.1994738375969931
B0101,900,850,-60,416.2,0.941,2.34,3.25,10.19,118.14,1,9,24.02,2.94,104.7,43290686.75363411,7654660.441817854,0.1768200279515147
B0102,750,100,-70,561.8,0.664,2.74,5.06,10.43,115.33,1,4,32.3,2.88,99.84,55248598.05871439,9383342.225592423,0.1698385579959957
B0103,300,900,-20,552.8,0.944,1.06,4.37,12.89,103.14,2,5,22.31,3.72,85.88,47142155.72783941,8677238.774461921,0.1840653792872193
B0104,450,600,-70,461.0,1.044,2.11,4.47,13.71,77.02,2,9,24.01,3.38,58.84,27156922.3819647,5212403.788984127,0.1919364689294012
B0105,900,900,-50,462.5,0.591,3.42,3.93,8.42,69.8,1,1,32.89,2.68,57.45,26998936.47138608,4953874.700089201,0.1834840681720704
B0106,500,500,-10,560.7,0.934,2.98,4.72,13.2,74.21,1,10,18.17,2.63,56.29,31454830.294135533,6240888.376084556,0.1984079493586749
B0107,200,200,-80,516.2,0.868,2.17,3.05,12.7,87.88,2,3,24.29,3.31,72.13,37143153.91164647,6532434.393480932,0.1758718284672278
B0108,250,600,-20,462.8,0.935,2.67,4.12,13.06,100.06,1,1,30.32,4.05,82.88,38739317.943303205,7039244.616864121,0.1817080163147524
B0109,350,100,-30,598.0,0.905,2.02,3.27,12.2,97.89,3,5,15.0,1.58,82.42,50101657.26974342,7874961.63892322,0.1571796636691086
B0110,400,950,-20,401.4,0.72,2.9,4.5,8.89,78.35,1,5,19.91,2.33,64.96,25653551.05163824,4509457.646240418,0.1757829797973502
B0111,550,800,-10,563.7,0.962,3.15,3.65,12.18,74.04,3,3,26.72,1.71,58.21,31299865.2796152,6181584.368058871,0.1974955582982901
B0112,250,100,-50,693.9,0.724,2.9,4.27,15.42,74.35,1,5,25.36,3.45,54.66,38660723.09088773,8073999.152855355,0.2088424247491217
B0113,500,150,-30,345.6,0.922,2.39,3.89,13.83,75.13,3,1,22.85,3.08,57.41,19438421.925308563,3965460.204238092,0.2040011385427906
B0114,50,0,-100,402.6,1.077,2.83,4.5,10.54,104.78,3,2,25.26,1.85,89.74,36396288.15219519,6275383.225354408,0.172418220207324
B0115,50,300,-100,634.6,0.615,1.93,4.4,14.03,74.64,1,2,34.72,2.94,56.21,35206836.914953984,7200177.9954757625,0.2045107889944385
B0116,950,950,-10,507.2,0.69,3.12,3.88,14.42,98.33,3,10,33.09,1.88,80.03,40742884.0570881,8054901.482015948,0.1977008174170877
B0117,100,650,-70,517.5,0.675,3.7,4.28,10.95,49.3,1,1,25.98,2.67,34.07,17916050.637004368,3390763.9350161483,0.1892584478418898
B0118,300,500,-100,549.8,0.872,3.01,3.6,11.35,89.24,2,6,23.11,3.69,74.29,40358058.45432318,6376962.381543906,0.1580096423310671
B0119,550,900,-40,377.3,0.947,2.48,5.59,8.45,71.01,1,7,39.6,2.96,56.97,21411457.60603043,3857087.940908141,0.1801413062052259
B0120,150,600,-70,576.1,0.775,0.87,4.45,10.95,41.08,1,2,32.72,3.61,25.68,15092103.910380095,3365305.011176313,0.2229844845463668
B0121,900,350,-100,414.3,0.696,2.17,4.17,11.19,61.9,2,1,38.15,3.67,46.54,18898628.5466019,3683242.291280847,0.1948946867863127
B0122,850,200,-100,566.6,1.057,3.64,2.77,13.51,82.56,3,5,17.39,1.72,66.28,37634388.85514319,6572534.89563592,0.1746417331482109
B0123,150,850,-50,338.1,0.984,2.56,4.54,13.31,96.17,1,9,22.12,3.95,78.32,25982636.625231046,4383725.973283745,0.1687175184148488
B0124,700,650,-50,538.0,0.519,2.17,3.1,13.33,95.86,1,7,27.58,1.69,79.43,42677480.94574076,7563448.022365092,0.1772233940419562
B0125,200,800,-50,514.0,0.816,1.65,3.96,11.42,107.36,3,5,28.51,0.81,91.98,46593006.920019045,7491971.456672843,0.160796049706203
B0126,150,550,-20,532.5,0.711,3.44,3.92,12.53,74.3,2,5,30.01,2.31,57.85,30648661.10467805,5749972.689963019,0.1876092619617036
B0127,400,350,-40,628.3,0.864,2.68,5.31,16.01,88.26,3,9,25.71,1.34,66.94,43142063.068070926,8396905.442480726,0.1946338409739891
B0128,750,100,-40,482.3,0.939,3.39,4.37,15.0,102.77,2,10,31.62,2.28,83.4,40608407.357729375,7326916.333541438,0.1804285568009807
B0129,800,250,-100,636.5,0.956,0.75,3.53,15.54,105.74,3,6,25.74,2.93,86.67,55044390.56802239,10294973.776904218,0.1870303889400313
B0130,400,550,-30,385.5,0.769,3.04,3.47,13.35,97.7,3,10,33.56,4.04,80.88,31626429.63096278,5916536.858803191,0.1870757125556407
B0131,650,800,-50,675.1,0.795,1.67,4.42,15.61,102.29,2,6,30.65,1.77,82.26,56231460.87541492,9174237.951088296,0.1631513357160419
B0132,700,150,-60,448.2,0.793,2.79,4.76,15.65,87.0,2,3,21.52,1.78,66.59,30184993.378232203,6030566.217158053,0.1997868987941198
B0133,600,50,-50,555.8,0.669,2.28,4.14,14.95,83.41,3,3,25.81,2.83,64.32,36237126.38290808,6903491.061792808,0.1905087889377721
B0134,100,0,-20,550.9,0.773,2.27,4.05,14.26,69.7,3,9,27.05,2.02,51.39,28041809.584985204,5828558.244040196,0.2078524292940445
B0135,400,900,-70,473.3,0.586,2.88,4.22,10.41,71.63,2,9,22.22,2.82,57.0,26175110.02181827,5123145.123818133,0.1957258295971911
B0136,50,850,-40,583.7,0.805,2.34,4.94,14.73,88.79,1,5,23.41,4.43,69.12,40080485.88178013,7722132.404331018,0.1926656385131638
B0137,900,50,-80,525.6,0.7,1.78,4.5,9.38,62.42,3,10,25.74,0.99,48.54,25850544.557653077,5310251.77707009,0.2054212732434677
B0138,850,300,-90,545.0,0.872,2.32,4.2,12.85,102.75,3,6,35.61,2.81,85.7,46739141.35085014,8371753.126246333,0.1791165366818203
B0139,850,500,-80,455.4,0.937,2.64,3.78,15.39,86.36,1,7,30.93,1.53,67.19,30737119.165123984,5780343.459683241,0.1880574242703244
B0140,800,550,-40,544.8,0.509,2.31,4.71,12.86,106.65,2,9,29.44,1.94,89.08,48153666.759036064,8722689.498555368,0.1811427890258959
B0141,400,900,-50,440.8,0.83,2.2,4.6,9.06,80.35,3,7,20.31,2.59,66.69,28964802.265151583,5086929.032958948,0.1756245040581265
B0142,150,250,-80,465.2,1.093,1.73,4.95,10.48,81.44,2,5,30.95,2.51,66.01,30475777.32134079,5862748.159525868,0.1923740319306131
B0143,500,400,-70,423.5,0.761,3.68,4.75,12.62,75.15,1,8,22.53,2.57,57.78,24073008.54896077,4838049.540324879,0.2009740299175749
B0144,250,750,-100,566.9,0.537,2.01,4.46,9.36,71.68,2,9,28.12,2.87,57.86,32015185.811913405,5697809.2064355565,0.1779720798720244
B0145,700,900,-40,496.2,0.669,3.72,4.34,13.77,83.5,2,3,37.6,1.99,65.39,32384672.943423424,6112952.62530268,0.1887606719382997
B0146,150,700,-60,426.3,0.876,3.34,3.75,11.53,94.72,1,3,34.26,3.79,79.44,34235281.649038896,6028830.324390298,0.1760999189723198
B0147,150,50,-100,578.3,0.924,3.66,4.44,13.78,79.88,3,5,33.19,1.68,61.66,35317348.446127,7423755.069627188,0.2102013711746046
B0148,900,650,-70,338.8,0.707,1.82,3.9,14.07,91.44,2,2,24.01,2.61,73.47,25058267.961248323,4377407.940776767,0.1746891663680133
B0149,150,850,-70,442.4,0.855,2.49,3.26,11.33,70.57,3,8,24.92,3.38,55.98,24682352.234230097,4932205.286741527,0.1998271979889105
B0150,150,200,-40,468.9,0.995,2.48,5.34,17.62,61.7,1,10,28.08,1.78,38.74,18195750.42678565,4207434.396653446,0.2312317050941605
B0151,700,250,-50,449.1,0.82,2.77,3.64,11.21,98.91,1,5,28.63,2.18,84.06,38004197.01281029,6544683.281077555,0.1722094872540394
B0152,150,950,-10,581.5,0.917,2.41,3.71,12.32,108.07,3,5,29.34,2.38,92.04,54103344.74728207,9714143.482886754,0.1795479286587869
B0153,700,250,-10,582.7,0.885,2.23,4.29,13.44,93.8,1,6,21.78,2.25,76.07,44246574.47018132,8924498.894391762,0.2016992049950932
B0154,650,950,-70,551.6,0.844,2.51,4.32,15.15,62.44,3,8,32.55,2.09,42.97,23935003.33655788,5157797.085962419,0.215491805596889
B0155,700,550,-60,397.1,0.527,2.08,4.31,13.02,81.77,2,8,30.73,2.92,64.44,25913211.829406127,5120498.749295851,0.1976018558797542
B0156,500,200,-90,461.9,0.859,2.11,3.96,11.69,74.58,1,8,30.24,2.52,58.93,27148391.36463455,4954453.14336403,0.1824952748330443
B0157,400,300,-40,516.7,0.346,3.08,4.51,14.91,85.93,3,1,19.44,2.28,66.51,33599628.95157943,6581128.735788468,0.1958690896638341
B0158,550,50,-20,562.7,0.835,2.72,4.89,12.38,67.35,1,1,25.69,1.59,50.08,28096022.82601018,5112617.238817571,0.18196942928465
B0159,850,400,-20,481.6,0.646,0.78,3.67,11.63,102.24,1,10,18.83,0.81,86.94,41662630.30471017,7768160.992531005,0.1864539261135602
B0160,650,200,-40,522.9,0.781,3.4,3.48,12.92,80.18,3,1,21.22,3.42,63.78,32117875.68073959,6576669.320119214,0.2047666348015383
B0161,100,400,-40,556.7,0.863,3.2,2.9,11.72,95.06,3,8,25.8,2.35,80.44,44265643.09652224,8318706.136700653,0.1879269237896652
B0162,950,900,-30,574.5,1.2,2.16,3.94,13.49,94.79,3,10,22.89,1.59,77.36,44397313.22509667,8422552.766387334,0.1897086142056515
B0163,250,300,-60,532.0,0.709,2.93,4.25,12.82,81.79,3,4,23.66,3.31,64.72,34744361.42286332,6994625.357391282,0.2013168488625182
B0164,100,550,-100,467.4,0.77,1.69,4.41,12.33,63.03,1,3,26.19,0.67,46.29,21641562.538800374,4564429.789727483,0.2109103620195668
B0165,50,350,-10,488.6,0.916,2.02,3.86,12.86,107.1,3,2,29.59,4.7,90.38,44810190.97182421,7754132.65236644,0.1730439546049266
B0166,500,550,-10,462.8,0.578,2.55,5.02,10.69,113.15,3,10,27.61,3.17,97.44,46008240.46364123,8068890.199942984,0.175379238993492
B0167,550,200,-10,568.6,1.005,1.71,4.69,13.24,75.95,3,9,29.87,1.32,58.02,33119902.26711815,6362383.031125061,0.1921015037970602
B0168,750,750,-80,488.7,0.858,3.65,4.31,9.21,66.13,2,4,31.63,1.84,52.61,25559603.85129775,5594873.214976558,0.2188951459313203
B0169,600,400,-80,664.4,0.832,1.89,4.02,8.68,106.14,1,8,24.21,2.72,93.44,62069796.41343513,10699075.08594181,0.1723716800145001
B0170,750,100,-80,479.9,0.987,3.38,3.5,12.46,81.94,2,1,23.44,2.43,65.98,31546656.21049273,6186240.495807075,0.1960981365039084
B0171,900,350,-60,412.3,0.669,0.81,3.71,9.51,70.26,3,1,25.37,3.21,57.04,23068465.38685349,4175907.125303261,0.1810223200925655
B0172,50,500,-40,711.4,0.7,2.59,3.72,10.3,67.04,1,6,29.54,3.42,53.02,37443857.38648524,7756003.030388126,0.2071368596011032
B0173,400,850,-20,578.9,0.796,3.56,4.35,13.69,98.03,3,9,33.58,1.79,79.99,46183469.97969366,8836572.164940916,0.1913362544829623
B0174,150,450,-70,412.1,0.633,1.65,4.39,13.58,80.05,2,1,18.72,2.33,62.08,25070193.94633788,5026706.14193242,0.2005052754155774
B0175,500,0,-30,417.2,0.967,2.35,3.26,13.1,96.83,1,5,29.77,2.44,80.47,32869865.28074428,5995394.931760584,0.1823979161628261
B0176,450,700,-10,669.7,0.694,1.77,4.47,13.18,79.52,3,9,35.59,0.89,61.87,40315125.02215157,7879919.508027458,0.1954581439025118
B0177,300,450,-50,423.5,0.848,2.61,4.4,13.23,64.7,1,8,28.02,2.66,47.07,20044304.49652376,4003368.436753449,0.1997259838797472
B0178,200,550,-80,498.1,0.743,2.41,4.43,14.34,80.95,2,8,39.34,1.0,62.18,30803235.576071784,5776554.401722785,0.1875307672616724
B0179,750,900,-10,540.4,0.761,1.74,4.16,12.15,61.53,1,9,26.01,3.23,45.22,24557623.68509405,5263945.525861516,0.2143507691689492
B0180,300,100,-60,592.3,0.651,3.84,3.9,10.37,83.07,2,7,28.49,1.89,68.8,41266541.4521305,6933547.387160051,0.1680186209741618
